City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
279,Adrar,MR,20.5022,-10.0711,66.9,15,100,11.07,overcast clouds
280,Solofra,IT,40.8295,14.8419,46.58,36,0,1.77,clear sky
281,Asau,RO,46.4333,26.4,37.76,68,93,13.04,overcast clouds
282,Meulaboh,ID,4.1363,96.1285,85.69,65,43,10.56,scattered clouds
283,Anqing,CN,30.5092,117.0506,42.53,58,79,4.32,broken clouds
284,Tamworth,GB,52.634,-1.6959,37.27,91,39,3.74,scattered clouds
285,Ostersund,SE,63.1792,14.6357,29.61,93,75,14.97,broken clouds
286,Jucas,BR,-6.5253,-39.5275,67.14,97,100,1.28,overcast clouds
287,Whitefish,US,48.4111,-114.3376,22.75,93,100,0.0,mist
288,Mairana,BO,-18.1167,-63.9333,51.17,86,12,3.65,few clouds
289,Mega,ET,4.05,38.3,73.83,21,44,22.06,scattered clouds
290,Roebourne,AU,-20.7833,117.1333,88.9,56,82,27.78,broken clouds
291,Robertsport,LR,6.7533,-11.3686,77.07,87,15,3.56,few clouds
292,Kichera,RU,55.9375,110.0997,-3.59,97,72,0.94,broken clouds
293,Kentau,KZ,43.5206,68.5094,33.71,60,0,2.86,clear sky
294,Krasnoselkup,RU,65.7,82.4667,-1.43,96,98,8.32,overcast clouds
295,Faya,SA,18.3851,42.4509,61.32,40,44,10.2,scattered clouds
296,Kaitangata,NZ,-46.2817,169.8464,57.6,94,100,1.39,overcast clouds
297,Namibe,AO,-15.1961,12.1522,73.49,70,93,6.98,overcast clouds
298,Saint-Augustin,CA,51.226,-58.6502,24.06,92,100,29.57,snow
299,Emerald,AU,-23.5333,148.1667,92.34,37,85,16.53,overcast clouds
300,Mawlaik,MM,23.6333,94.4167,79.34,26,2,2.26,clear sky
301,Keti Bandar,PK,24.1447,67.4497,75.72,61,0,12.75,clear sky
302,Bafoulabe,ML,13.8065,-10.8321,75.61,16,29,4.16,scattered clouds
303,Erzin,TR,36.9559,36.2,46.92,69,98,3.85,overcast clouds
304,Weligama,LK,5.9667,80.4167,86.94,58,13,9.08,few clouds
305,North Bend,US,43.4065,-124.2243,45.12,99,75,0.0,broken clouds
306,Biak,ID,-0.9131,122.8766,83.17,70,97,2.62,overcast clouds
307,Lorca,ES,37.6712,-1.7017,38.77,27,0,3.56,clear sky
308,Talara,PE,-4.5772,-81.2719,71.8,80,100,11.1,overcast clouds
309,Tupik,RU,54.4253,119.9327,-4.09,91,16,3.42,few clouds
310,College,US,64.8569,-147.8028,-22.34,66,0,0.0,clear sky
311,Mandalgovi,MN,45.7625,106.2708,5.94,60,12,20.56,few clouds
312,Vila Velha,BR,-20.3297,-40.2925,75.94,93,0,2.3,clear sky
313,Gizo,SB,-8.103,156.8419,83.26,75,100,7.74,light rain
314,Banapur,IN,19.7833,85.1833,76.41,31,0,4.38,clear sky
315,Erdenet,MN,49.0333,104.0833,3.92,87,18,2.68,few clouds
316,Nicoya,CR,10.1483,-85.452,72.03,80,24,7.83,few clouds
317,Beckley,US,37.7782,-81.1882,12.69,70,40,1.99,scattered clouds
318,Samarai,PG,-10.6167,150.6667,83.7,71,100,8.63,overcast clouds
319,Ponta Pora,BR,-22.5361,-55.7256,65.8,90,16,3.91,few clouds
320,Loubomo,CG,-4.1997,12.6739,77.16,84,100,2.62,overcast clouds
321,Mackenzie,CA,55.2999,-123.1698,28.96,96,100,6.53,overcast clouds
322,Udachnyy,RU,66.4167,112.4,-24.07,99,22,2.1,few clouds
323,Melville,US,40.7934,-73.4151,14.59,56,0,4.0,clear sky
324,Jelgava,LV,56.65,23.7128,35.64,84,99,14.07,overcast clouds
325,San Lorenzo,PY,-25.3333,-57.5333,72.54,64,0,5.75,clear sky
326,Provideniya,RU,64.3833,-173.3,4.3,78,6,5.35,clear sky
327,Kitgum,UG,3.2783,32.8867,88.23,22,25,5.35,scattered clouds
328,Bemidji,US,47.4736,-94.8803,10.69,85,100,8.05,overcast clouds
329,Faanui,PF,-16.4833,-151.75,80.53,72,100,6.55,light rain
330,Itoman,JP,26.1247,127.6694,62.62,92,75,27.63,broken clouds
331,Mujiayingzi,CN,42.1167,118.7833,26.47,23,6,5.26,clear sky
332,Katobu,ID,-4.9408,122.5276,86.27,58,96,8.55,light rain
333,Dauphin,CA,51.1494,-100.0502,-3.98,96,68,5.19,broken clouds
334,Huarmey,PE,-10.0681,-78.1522,69.44,89,100,7.31,overcast clouds
335,Graham,US,47.0529,-122.2943,45.9,87,100,0.0,light intensity drizzle
336,Rocha,UY,-34.4833,-54.3333,58.59,92,12,5.12,few clouds
337,Verkhnevilyuysk,RU,63.4453,120.3167,-17.19,99,83,4.05,broken clouds
338,Baykit,RU,61.67,96.37,0.73,98,92,0.89,overcast clouds
339,Hualmay,PE,-11.0964,-77.6139,69.19,87,100,7.38,overcast clouds
340,Ardakan,IR,32.31,54.0175,50.38,25,0,1.57,clear sky
341,Bambanglipuro,ID,-7.95,110.2833,83.7,73,100,8.25,overcast clouds
342,Gorontalo,ID,0.5412,123.0595,86.45,66,94,5.12,overcast clouds
343,Barcelos,PT,41.5388,-8.6151,49.68,52,0,6.11,clear sky
344,Batemans Bay,AU,-35.7167,150.1833,78.98,81,82,5.53,broken clouds
345,Noumea,NC,-22.2763,166.4572,82.99,99,97,9.01,overcast clouds
346,Cabedelo,BR,-6.9811,-34.8339,75.87,82,100,9.46,overcast clouds
