City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
50,Healdsburg,38.6105,-122.8692,52.9,81,100,0.0,US,2022-01-19 07:35:38
51,Nabire,-3.3667,135.4833,82.83,77,59,4.29,ID,2022-01-19 07:37:14
52,Vao,-22.6667,167.4833,77.9,78,83,17.6,NC,2022-01-19 07:37:15
53,Broome,42.2506,-75.833,24.84,80,100,8.01,US,2022-01-19 07:37:15
54,Saint-Philippe,-21.3585,55.7679,89.11,81,67,0.94,RE,2022-01-19 07:37:16
55,Flinders,-34.5833,150.8552,71.06,76,100,7.0,AU,2022-01-19 07:37:16
56,Padang,-0.9492,100.3543,77.05,88,100,9.55,ID,2022-01-19 07:34:24
57,Qaanaaq,77.484,-69.3632,-5.46,64,50,9.57,GL,2022-01-19 07:37:16
58,Oranjemund,-28.55,16.4333,71.51,71,0,14.94,NA,2022-01-19 07:37:17
59,Ancud,-41.8697,-73.8203,54.93,71,64,3.42,CL,2022-01-19 07:37:17
60,Hermanus,-34.4187,19.2345,71.91,54,14,5.35,ZA,2022-01-19 07:33:21
61,Kamenka,51.3223,42.7678,15.84,96,65,8.48,RU,2022-01-19 07:37:18
62,Hithadhoo,-0.6,73.0833,83.03,72,60,9.69,MV,2022-01-19 07:37:18
63,Tulun,54.5611,100.5792,20.77,95,100,2.68,RU,2022-01-19 07:37:18
64,Tuktoyaktuk,69.4541,-133.0374,-11.65,94,100,5.23,CA,2022-01-19 07:33:18
65,Ribeira Grande,38.5167,-28.7,61.2,72,20,14.97,PT,2022-01-19 07:33:17
66,Dhidhdhoo,6.8833,73.1,81.25,68,100,5.3,MV,2022-01-19 07:37:19
67,Ilulissat,69.2167,-51.1,24.82,54,100,5.75,GL,2022-01-19 07:33:19
68,Albany,42.6001,-73.9662,15.31,81,96,1.01,US,2022-01-19 07:30:06
69,Arraial Do Cabo,-22.9661,-42.0278,75.78,92,1,19.84,BR,2022-01-19 07:37:05
70,Puerto Suarez,-18.95,-57.8,75.04,70,89,0.98,BO,2022-01-19 07:37:20
71,Pevek,69.7008,170.3133,-35.64,96,28,3.76,RU,2022-01-19 07:37:20
72,Hambantota,6.1241,81.1185,89.94,62,20,11.5,LK,2022-01-19 07:37:20
73,Te Anau,-45.4167,167.7167,48.43,95,94,4.97,NZ,2022-01-19 07:37:21
74,Torbay,47.6666,-52.7314,39.58,93,75,12.66,CA,2022-01-19 07:34:37
75,Moose Factory,51.2585,-80.6094,-7.6,77,100,6.91,CA,2022-01-19 07:37:21
76,New Norfolk,-42.7826,147.0587,66.76,46,96,1.99,AU,2022-01-19 07:33:23
77,Yellowknife,62.456,-114.3525,-28.71,74,0,6.91,CA,2022-01-19 07:37:21
78,Quatre Cocos,-20.2078,57.7625,87.1,70,100,7.36,MU,2022-01-19 07:37:22
79,Longyearbyen,78.2186,15.6401,12.04,67,40,33.38,SJ,2022-01-19 07:37:22
80,Cape Town,-33.9258,18.4232,73.11,57,0,4.0,ZA,2022-01-19 07:37:22
81,Bluff,-46.6,168.3333,55.8,58,46,21.88,NZ,2022-01-19 07:33:20
82,Barrow,71.2906,-156.7887,-12.98,70,100,10.36,US,2022-01-19 07:34:29
83,Constantine,36.365,6.6147,27.81,93,0,1.14,DZ,2022-01-19 07:37:23
84,Madinat Sittah Uktubar,29.8167,31.05,51.4,76,83,11.83,EG,2022-01-19 07:37:24
85,Mataura,-46.1927,168.8643,55.47,88,100,3.67,NZ,2022-01-19 07:33:24
86,Hobart,-42.8794,147.3294,67.12,63,20,1.99,AU,2022-01-19 07:34:56
87,Nikolskoye,59.7035,30.7861,34.88,93,100,8.12,RU,2022-01-19 07:33:22
88,Katsuura,35.1333,140.3,46.18,54,100,6.17,JP,2022-01-19 07:37:24
89,Krasnyy Kommunar,51.9644,55.3668,12.27,85,100,8.95,RU,2022-01-19 07:37:25
